"Sol.ID"	"size"
"Solyc00g160260.1.1"	314
"Solyc00g160270.1.1"	514
"Solyc00g500003.1.1"	70570
"Solyc00g500004.1.1"	890
"Solyc00g500005.1.1"	251
"Solyc00g500006.1.1"	1894
"Solyc00g500007.1.1"	673
"Solyc00g500008.1.1"	674
"Solyc00g500009.1.1"	5950
"Solyc00g500010.1.1"	795
"Solyc00g500011.1.1"	37109
"Solyc00g500013.1.1"	7577
"Solyc00g500014.1.1"	16163
"Solyc00g500015.1.1"	17662
"Solyc02g010630.2.1"	2253
"Solyc02g010600.2.1"	496
"Solyc00g500016.1.1"	1211
"Solyc00g500017.1.1"	3379
"Solyc00g500018.1.1"	3122
"Solyc00g014290.1.1"	546
"Solyc00g005280.1.1"	502
"Solyc00g500019.1.1"	3491
"Solyc00g500020.1.1"	1871
"Solyc00g500021.1.1"	380
"Solyc00g500022.1.1"	809
"Solyc00g180440.2.1"	386
"Solyc00g500023.1.1"	2436
"Solyc00g500024.1.1"	1526
"Solyc00g500025.1.1"	1516
"Solyc00g500026.1.1"	705
"Solyc00g500028.1.1"	524
"Solyc00g500029.1.1"	477
"Solyc00g500030.1.1"	416
"Solyc00g500031.1.1"	940
"Solyc00g500032.1.1"	356
"Solyc00g500033.1.1"	2652
"Solyc00g500034.1.1"	1108
"Solyc00g500035.1.1"	428
"Solyc00g500036.1.1"	401
"Solyc00g500037.1.1"	6836
"Solyc00g500038.1.1"	1281
"Solyc00g500039.1.1"	1418
"Solyc00g500040.1.1"	1098
"Solyc00g160280.1.1"	1784
"Solyc00g500041.1.1"	2224
"Solyc00g500042.2.1"	3099
"Solyc00g500043.1.1"	1986
"Solyc00g500044.1.1"	1418
"Solyc00g500045.1.1"	1281
"Solyc00g500046.1.1"	6836
"Solyc00g500047.1.1"	1490
"Solyc00g277510.2.1"	1061
"Solyc00g500048.1.1"	1529
"Solyc00g500049.1.1"	657
"Solyc00g500050.1.1"	1523
"Solyc00g500051.1.1"	1651
"Solyc00g500052.1.1"	7101
"Solyc00g500053.2.1"	698
"Solyc00g500054.1.1"	2430
"Solyc00g500055.1.1"	517
"Solyc00g500056.1.1"	2204
"Solyc00g500057.1.1"	2252
"Solyc00g500058.1.1"	1130
"Solyc00g500059.1.1"	443
"Solyc00g500061.1.1"	476
"Solyc00g500062.1.1"	764
"Solyc00g500063.1.1"	4208
"Solyc00g500064.1.1"	1496
"Solyc00g500065.1.1"	2329
"Solyc00g500066.1.1"	554
"Solyc00g500067.1.1"	1871
"Solyc00g500068.1.1"	380
"Solyc00g500069.1.1"	559
"Solyc00g500070.1.1"	1087
"Solyc00g500071.1.1"	1526
"Solyc00g500072.1.1"	705
"Solyc00g500073.1.1"	1846
"Solyc00g500074.1.1"	477
"Solyc00g500075.1.1"	416
"Solyc00g500076.1.1"	940
"Solyc00g500077.1.1"	356
"Solyc00g500078.1.1"	2652
"Solyc00g500079.1.1"	428
"Solyc00g500080.1.1"	401
"Solyc00g500081.1.1"	6836
"Solyc00g500082.1.1"	1281
"Solyc00g500083.1.1"	1418
"Solyc00g500084.1.1"	1218
"Solyc00g500085.2.1"	941
"Solyc00g160290.1.1"	1784
"Solyc00g500086.1.1"	2224
"Solyc00g500087.1.1"	1625
"Solyc00g500088.2.1"	5146
"Solyc00g500089.1.1"	46717
"Solyc00g160160.1.1"	2091
"Solyc00g160630.1.1"	452
"Solyc00g500091.2.1"	3050
"Solyc00g160310.1.1"	443
"Solyc00g160300.1.1"	2685
"Solyc00g011670.1.1"	182
"Solyc00g011660.1.1"	1289
"Solyc00g500092.2.1"	2843
"Solyc00g500093.1.1"	1865
"Solyc00g160640.1.1"	370
"Solyc00g500095.1.1"	1823
"Solyc00g500096.2.1"	3426
"Solyc00g011560.1.1"	3078
"Solyc00g500097.1.1"	881
"Solyc00g500098.1.1"	1082
"Solyc00g500099.1.1"	488
"Solyc00g500101.1.1"	407
"Solyc00g500102.1.1"	671
"Solyc00g153980.1.1"	167
"Solyc00g309530.1.1"	286
"Solyc00g164580.1.1"	1155
"Solyc00g210860.1.1"	260
"Solyc00g025400.2.1"	1453
"Solyc00g022070.1.1"	237
"Solyc00g022080.1.1"	212
"Solyc00g022090.1.1"	353
"Solyc00g022100.1.1"	479
"Solyc00g500103.1.1"	3002
"Solyc00g500104.2.1"	812
"Solyc00g500106.1.1"	811
"Solyc00g500107.1.1"	673
"Solyc00g500108.1.1"	236
"Solyc00g281110.1.1"	368
"Solyc00g500109.1.1"	586
"Solyc00g500110.1.1"	1112
"Solyc00g500111.1.1"	1073
